recording_id,timestamp_s,channel_id,duration_s,well_id,source_vendor,schema_version,amplitude_uv
trujillo__161217__7__post_treatment,8.362000000000002,ch_01,120.0,,public_demo_export,1.0,
trujillo__161217__7__post_treatment,8.82248,ch_01,120.0,,public_demo_export,1.0,
trujillo__161217__7__post_treatment,9.228000000000002,ch_01,120.0,,public_demo_export,1.0,
trujillo__161217__7__post_treatment,9.696080000000002,ch_01,120.0,,public_demo_export,1.0,
trujillo__161217__7__post_treatment,10.746480000000002,ch_01,120.0,,public_demo_export,1.0,
trujillo__161217__7__post_treatment,41.681200000000004,ch_01,120.0,,public_demo_export,1.0,
trujillo__161217__7__post_treatment,42.745520000000006,ch_01,120.0,,public_demo_export,1.0,
trujillo__161217__7__post_treatment,43.70512000000001,ch_01,120.0,,public_demo_export,1.0,
trujillo__161217__7__post_treatment,44.17416000000001,ch_01,120.0,,public_demo_export,1.0,
trujillo__161217__7__post_treatment,82.19952,ch_01,120.0,,public_demo_export,1.0,
trujillo__161217__7__post_treatment,83.64784000000002,ch_01,120.0,,public_demo_export,1.0,
trujillo__161217__7__post_treatment,84.91680000000001,ch_01,120.0,,public_demo_export,1.0,
trujillo__161217__7__post_treatment,86.26064000000001,ch_01,120.0,,public_demo_export,1.0,
trujillo__161217__7__post_treatment,110.18376000000002,ch_01,120.0,,public_demo_export,1.0,
trujillo__161217__7__post_treatment,110.62560000000002,ch_01,120.0,,public_demo_export,1.0,
trujillo__161217__7__post_treatment,111.43976000000002,ch_01,120.0,,public_demo_export,1.0,
trujillo__161217__7__post_treatment,112.48512000000002,ch_01,120.0,,public_demo_export,1.0,
trujillo__161217__7__post_treatment,113.31832000000001,ch_01,120.0,,public_demo_export,1.0,
trujillo__161217__7__post_treatment,9.025440000000001,ch_03,120.0,,public_demo_export,1.0,
trujillo__161217__7__post_treatment,9.20728,ch_03,120.0,,public_demo_export,1.0,
trujillo__161217__7__post_treatment,10.963200000000002,ch_03,120.0,,public_demo_export,1.0,
trujillo__161217__7__post_treatment,12.197600000000001,ch_03,120.0,,public_demo_export,1.0,
trujillo__161217__7__post_treatment,12.557040000000002,ch_03,120.0,,public_demo_export,1.0,
trujillo__161217__7__post_treatment,14.126880000000002,ch_03,120.0,,public_demo_export,1.0,
trujillo__161217__7__post_treatment,15.201680000000001,ch_03,120.0,,public_demo_export,1.0,
trujillo__161217__7__post_treatment,35.24184,ch_03,120.0,,public_demo_export,1.0,
trujillo__161217__7__post_treatment,42.53848000000001,ch_03,120.0,,public_demo_export,1.0,
trujillo__161217__7__post_treatment,43.976240000000004,ch_03,120.0,,public_demo_export,1.0,
trujillo__161217__7__post_treatment,45.71352000000001,ch_03,120.0,,public_demo_export,1.0,
trujillo__161217__7__post_treatment,50.901360000000004,ch_03,120.0,,public_demo_export,1.0,
trujillo__161217__7__post_treatment,54.21920000000001,ch_03,120.0,,public_demo_export,1.0,
trujillo__161217__7__post_treatment,57.26096000000001,ch_03,120.0,,public_demo_export,1.0,
trujillo__161217__7__post_treatment,59.11880000000001,ch_03,120.0,,public_demo_export,1.0,
trujillo__161217__7__post_treatment,60.42824000000001,ch_03,120.0,,public_demo_export,1.0,
trujillo__161217__7__post_treatment,63.30800000000001,ch_03,120.0,,public_demo_export,1.0,
trujillo__161217__7__post_treatment,64.94560000000001,ch_03,120.0,,public_demo_export,1.0,
trujillo__161217__7__post_treatment,70.29976,ch_03,120.0,,public_demo_export,1.0,
trujillo__161217__7__post_treatment,70.95240000000001,ch_03,120.0,,public_demo_export,1.0,
trujillo__161217__7__post_treatment,80.22656,ch_03,120.0,,public_demo_export,1.0,
trujillo__161217__7__post_treatment,93.76144000000001,ch_03,120.0,,public_demo_export,1.0,
trujillo__161217__7__post_treatment,98.60176000000001,ch_03,120.0,,public_demo_export,1.0,
trujillo__161217__7__post_treatment,99.48488000000002,ch_03,120.0,,public_demo_export,1.0,
trujillo__161217__7__post_treatment,100.65456000000002,ch_03,120.0,,public_demo_export,1.0,
trujillo__161217__7__post_treatment,101.66472000000002,ch_03,120.0,,public_demo_export,1.0,
trujillo__161217__7__post_treatment,111.64472000000002,ch_03,120.0,,public_demo_export,1.0,
trujillo__161217__7__post_treatment,114.26008000000002,ch_03,120.0,,public_demo_export,1.0,
trujillo__161217__7__post_treatment,114.41240000000002,ch_03,120.0,,public_demo_export,1.0,
trujillo__161217__7__post_treatment,118.28040000000001,ch_03,120.0,,public_demo_export,1.0,
trujillo__161217__7__post_treatment,14.041760000000002,ch_04,120.0,,public_demo_export,1.0,
trujillo__161217__7__post_treatment,15.034720000000002,ch_04,120.0,,public_demo_export,1.0,
trujillo__161217__7__post_treatment,18.361120000000003,ch_04,120.0,,public_demo_export,1.0,
trujillo__161217__7__post_treatment,19.990720000000003,ch_04,120.0,,public_demo_export,1.0,
trujillo__161217__7__post_treatment,23.721120000000003,ch_04,120.0,,public_demo_export,1.0,
trujillo__161217__7__post_treatment,31.800320000000006,ch_04,120.0,,public_demo_export,1.0,
trujillo__161217__7__post_treatment,49.772400000000005,ch_04,120.0,,public_demo_export,1.0,
trujillo__161217__7__post_treatment,54.623920000000005,ch_04,120.0,,public_demo_export,1.0,
trujillo__161217__7__post_treatment,60.65736000000001,ch_04,120.0,,public_demo_export,1.0,
trujillo__161217__7__post_treatment,61.38608000000001,ch_04,120.0,,public_demo_export,1.0,
trujillo__161217__7__post_treatment,70.69936000000001,ch_04,120.0,,public_demo_export,1.0,
trujillo__161217__7__post_treatment,71.73960000000001,ch_04,120.0,,public_demo_export,1.0,
trujillo__161217__7__post_treatment,92.96488000000001,ch_04,120.0,,public_demo_export,1.0,
trujillo__161217__7__post_treatment,100.97952000000001,ch_04,120.0,,public_demo_export,1.0,
trujillo__161217__7__post_treatment,10.848160000000002,ch_05,120.0,,public_demo_export,1.0,
trujillo__161217__7__post_treatment,13.742400000000002,ch_05,120.0,,public_demo_export,1.0,
trujillo__161217__7__post_treatment,27.213840000000005,ch_05,120.0,,public_demo_export,1.0,
trujillo__161217__7__post_treatment,30.507200000000005,ch_05,120.0,,public_demo_export,1.0,
trujillo__161217__7__post_treatment,36.8772,ch_05,120.0,,public_demo_export,1.0,
trujillo__161217__7__post_treatment,43.76160000000001,ch_05,120.0,,public_demo_export,1.0,
trujillo__161217__7__post_treatment,49.23080000000001,ch_05,120.0,,public_demo_export,1.0,
trujillo__161217__7__post_treatment,91.23680000000002,ch_05,120.0,,public_demo_export,1.0,
trujillo__161217__7__post_treatment,105.00528000000001,ch_05,120.0,,public_demo_export,1.0,
trujillo__161217__7__post_treatment,115.12792000000002,ch_05,120.0,,public_demo_export,1.0,
trujillo__161217__7__post_treatment,48.415600000000005,ch_09,120.0,,public_demo_export,1.0,
trujillo__161217__7__post_treatment,57.04400000000001,ch_09,120.0,,public_demo_export,1.0,
trujillo__161217__7__post_treatment,89.22472000000002,ch_09,120.0,,public_demo_export,1.0,
trujillo__161217__7__post_treatment,0.3844000000000001,ch_10,120.0,,public_demo_export,1.0,
trujillo__161217__7__post_treatment,0.7266400000000001,ch_10,120.0,,public_demo_export,1.0,
trujillo__161217__7__post_treatment,1.0738400000000001,ch_10,120.0,,public_demo_export,1.0,
